261740;Abraham Lincoln: Vampire Hunter (Blu-ray) / Chronicle (Blu-ray) (Back-To-Back);Fox;29.99;VAR;VAR;2014-05-06
261728;Abraham Lincoln: Vampire Hunter (Blu-ray) / Chronicle (Blu-ray) (Side-By-Side);Fox;29.99;VAR;VAR;2014-05-06
234366;Abraham Lincoln: Vampire Hunter (Blu-ray/ Rental Ready);Fox;39.99;R;Fantasy;2012-10-23
233726;Abraham Lincoln: Vampire Hunter (DVD & Blu-ray Combo w/ Digital Copy);Fox;24.99;R;Fantasy;2012-10-23
233754;Abraham Lincoln: Vampire Hunter (DVD & Blu-ray Combo w/ Digital Copy/ Cancelled);Fox;39.99;R;Fantasy;2012-10-23
244821;Absence (DVD & Blu-Ray Combo);New Video;29.95;NR;Horror;2013-08-06
215333;Absence Of Malice (Image/ Blu-ray);Image;17.97;PG;Drama;2011-11-08
178158;Absolute Power (Blu-ray);Warner Brothers;14.97;R;Action/Adventure;2010-06-01
250980;Accel World: Set 1 (Blu-ray);Viz Entertainment;54.97;MA17;Anime;2013-11-26
257118;Accel World: Set 2 (Blu-ray);Viz Entertainment;54.97;MA17;Anime;2014-03-11
172691;Accident (2009/ Mega Star/ Blu-ray);Mega Star;69.98;NR;Foreign;2009-12-29
224680;Accident (2009/ Shout! Factory/ Blu-ray);Shout! Factory;26.97;NR;Foreign;2012-06-12
160382;Accidental Spy (Kam & Ronson/ Blu-ray);Kam & Ronson;77.98;PG-13;Action/Adventure;2009-05-05
181368;Accidents Happen (Blu-ray);Image;17.97;R;Comedy;2010-07-27
170634;According To Greta (Blu-ray);Anchor Bay;19.97;PG-13;Drama;2010-01-19
260347;Ace In The Hole (1951/ DVD & Blu-ray Combo);Criterion Collection;39.95;NR;Drama;2014-05-06
247891;Ace Ventura: Pet Detective (Blu-ray);Warner Brothers;19.98;PG-13;Comedy;2013-09-03
247926;Ace Ventura: When Nature Calls (Blu-ray);Warner Brothers;19.98;PG-13;Comedy;2013-09-03
257124;Acrid Yarn (Blu-ray/ On Demand DVD-R);R2 Films;19.99;NR;Suspense/Thriller;2013-12-10
170623;Across The Hall (Image/ Blu-ray);Image;17.97;R;Suspense/Thriller;2010-01-19
190716;Across The Line: The Exodus Of Charlie Wright (Blu-ray);Maya Entertainment;29.98;NR;Drama;2010-12-07
126593;Across The Universe (Blu-ray);Sony Pictures;14.99;PG-13;Musical;2008-02-05
186482;Across The Universe (Blu-ray) / The Other Boleyn Girl (2008/ Blu-ray);Sony Pictures;26.99;PG-13;VAR;2010-10-05
253225;Act Of Killing (Blu-ray);New Video;29.95;NR;Foreign;2014-01-07
226075;Act Of Valor (DVD & Blu-ray Combo w/ Digital Copy);Fox;24.99;R;Action/Adventure;2012-06-05
225022;Act Of Vengeance (2010/ Blu-ray);Millennium Media Services;14.99;R;Action/Adventure;2012-06-05
146114;Action 3 Pack (Blu-ray): The Transporter / The Transporter 2 / Jumper;Fox;29.99;PG-13;Action/Adventure;2008-11-18
186073;Action Bundle (Blu-ray), Vol. 2: Kiss Of The Dragon / Bulletproof Monk / Commando (Amazon Exclusive);Fox;59.99;VAR;Action/Adventure;2009-04-21
186071;Action Bundle (Blu-ray), Vol. 3: Rising Sun / Entrapment / Broken Arrow (Amazon Exclusive);Fox;34.99;VAR;VAR;2009-04-21
156340;Action Hero Collection (Blu-ray): The Terminator / The Day After Tomorrow / I, Robot;Fox;29.99;VAR;VAR;2009-05-12
